Year_Month,Country,Trade.Value
2020-02,Turkey,1.99602E+11
2020-03,Turkey,2.04196E+11
2019-01,Uganda,1198908961
2019-02,Uganda,1155730989
2019-03,Uganda,1777996356
2019-02,Ukraine,17127525878
2019-03,Ukraine,18532140994
2019-07,Ukraine,19474361823
2019-08,Ukraine,18918929634
2019-09,Ukraine,18659569648
2019-10,Ukraine,20770101238
2019-11,Ukraine,19086145324
2020-01,Ukraine,8175199013
2020-02,Ukraine,16956209070
2019-01,United Kingdom,6.25065E+11
2019-02,United Kingdom,6.07887E+11
2019-03,United Kingdom,6.89006E+11
2019-04,United Kingdom,3.61391E+11
2019-05,United Kingdom,2.092E+11
2019-06,United Kingdom,5.59036E+11
2019-08,United Kingdom,5.95668E+11
2019-09,United Kingdom,6.58906E+11
2019-10,United Kingdom,7.12865E+11
2019-11,United Kingdom,6.01785E+11
2019-12,United Kingdom,5.5725E+11
2019-01,Uruguay,2953073454
2019-02,USA,3.01787E+11
2019-03,USA,3.39307E+11
2019-05,USA,3.47695E+11
2019-09,USA,3.46964E+11
2019-10,USA,3.67339E+11
2019-11,USA,3.4203E+11
2019-12,USA,3.43725E+11
2020-01,USA,4.59999E+11
2020-02,USA,4.47241E+11
2019-01,Uzbekistan,4491571686
2019-02,Uzbekistan,4213883496
2019-03,Uzbekistan,4320436366
2019-04,Uzbekistan,2682034127
2019-05,Uzbekistan,4503499276
2019-06,Uzbekistan,5119288830
2019-07,Uzbekistan,6510065920
2019-08,Uzbekistan,5431812362
2019-09,Uzbekistan,4586951520
2019-10,Uzbekistan,4378999253
2019-11,Uzbekistan,4977295898
2019-12,Uzbekistan,5920613157
2020-01,Uzbekistan,5063614994
2020-02,Uzbekistan,5104920110
2019-01,Zambia,1246585662
2019-02,Zambia,1224949118
2019-03,Zambia,1168746532
2019-05,Zambia,1241173112
2019-06,Zambia,1321798084
2019-07,Zambia,1192069906
2019-08,Zambia,1284527168
2019-09,Zambia,1148273242
2019-10,Zambia,1184457176
2019-11,Zambia,1249805160
2019-12,Zambia,1150629408
2020-01,Zambia,1980497358
2020-02,Zambia,2181415158
2019-01,Zimbabwe,2636326061
2019-02,Zimbabwe,3029007932
2019-03,Zimbabwe,2503081695
2019-04,Zimbabwe,1100795298
2019-05,Zimbabwe,3119166761
2019-06,Zimbabwe,2793594815
2019-07,Zimbabwe,2627363772
2019-08,Zimbabwe,2916765874
2019-09,Zimbabwe,3128856243
2019-10,Zimbabwe,3538883293
2019-11,Zimbabwe,3530823490
2019-12,Zimbabwe,3639196623
